akkadian,english,confidence,src_len,tgt_len,ratio
iš-al-ni-a-tí-ma na-pá-lá-tí-ni a-na a-lim{ki} i-ta-ba-al i-nu-mì a-bu-ni i-na dur₄-hu-mì-it me-tù a-na-ku,"when our father died in durhumit i personally was not present, but my brother ali-ahum took care of my father.",22,11,20,1.818
1 túg ra-qá-tám sig₅ a-na en-um-a-šur iš-tù a-lim{ki} i-na e-lá-i-šu a-šur-du₁₀,aššur-ṭāb will bring 1 thin textile of fine quality for ennam-aššur up here when he comes up from the city.,22,11,20,1.818
3 ku-ta-ni ù túg a-bar-ni-am ša ta-ak-lu-ú a-na ha-dí-a-šu dí-in-ma lu-ub-lam,"the 3 -textiles and the abarnian one that you held back, give them to hadiaššu to bring them to me.",22,11,20,1.818
ša-i-il₅ 4 gú 30 ma-na urudu ṣa-lá-ma-am é a-šur-iš-tí-kál dumu hi-na-a,ask annina there! 4 talents 30 minas of black copper is deposited in the house of aššuruš-tikal son of hinnaya.,22,11,20,1.818
ša i-dí-a-šur a-dí ha-am-ší-šu tí-ir-tí i-li-kà-ku-nu-tí ú a-tù-nu mì-ma-ša-ma lá ta-áš-pu-ra-nim-ma,you have not sent me word to inform me whether he has paid the silver and its interest or not.,22,11,20,1.818
a-wa-at ṭup-pí-im a-ni-im ni-iš a-lim{ki} it-mu-ú-ni-ma a-hu-um a-na a-hi-im la i-tù-ru,"they swore by the city concerning the words of this tablet, and no one must raise claim against the other.",22,11,20,1.818
ša-lim-wa-ar-dim 10 u₄-me ú 20 u₄-me,because of him we made šalim-wardī wait 10 or 20 days.,22,6,11,1.833
ša ku-ku-ú 5 gín a-na šé-né-šu,his share in the losses amounted to 1.5 shekels of silver.,22,6,11,1.833
šál-ma-a-šùr i bu-ul-ṭí-šu hu-sà-ra-am a-na ší-a-ma-tim,when šalim-aššur was alive he gave you lapis lazuli for purchases.,22,6,11,1.833
i-na a-al ší-a-ma-tim wa-áš-ba-ku a-šu-mì ša,i am staying in a city where purchases can be made.,22,6,11,1.833
ma-na urudu a-na qá-té ṣú-ha-ri-a dí-in,give 1 mina of copper to my servant to dispose of.,22,6,11,1.833
ší-tí ú-ṭí-tim áb-kà-nim a-ba-kam lá a-ba-kam,send me word as to whether it is shipped or not.,22,6,11,1.833
ù um-mì-ki i-ba-ší-ú pá-al-ha-ni-ma pá-ṭá-ra-am ú-lá,we did not dare to open them because we were afraid.,22,6,11,1.833
ir-ma-a-šur i-šu iš-tù ha-ir-uš-tim ša e-dí-na-a,from the week of edināya he will pay within 15 weeks.,22,6,11,1.833
a-wa-at kà-ri-im i-lá-ak-šu-um ṣa-áb-ta-šu-ma urudu ù,seize him and have him pay the copper and its interest.,22,6,11,1.833
i-a-tí ku-un-kà áš-ta-na-me-ma ma-ma-na am-tám a-na,i hear by rumor that somebody intends to marry the maid.,22,6,11,1.833
al-le a-bu-ša ú-ba-ša-am a-šé-pé-šu mu-qú-ut ú,her father shames me; fall at his feet and honour him.,22,6,11,1.833
ta-ma-lá-ke ša qá-tí-kà al-pì-lí ú-ša-al li-ba-kà,"as for the coffers under your control, alpilī will make enquiries.",22,6,11,1.833
li-li-kam e a-ta-lá-ak-ma li-ba-kà e tù-lá-mì-nam,"if i do not depart, do not be angry with me.",22,6,11,1.833
ša-áp-ra-tí-šu ù ṭup-pì-šu lu-šé-ru-ú 15 gú,the winter has become bad and until today they are delayed.,22,6,11,1.833
ší-a-tí li-zi-zi-im šu-ma a-ki-am iš-tí a-we-li-im,"if it is like that, make an agreement with the man.",22,6,11,1.833
ṭù-ur-da-nim be-lu-a a-tù-nu a-ma-kam lá ta-ša-lá-ṭá-ma u₄-me-e ma-du-tim a-na-kam lá a-sà-hu-ur-ma é,"my dear lords, do not act rashly there, lest i be delayed here a long time, and my father's house be lost.",22,12,22,1.833
ṭup-pí-a šu-uk-na ú ta-ah-sí-is-tám ša a-na ṣí-it en-um-a-šur ú-ša-qí-lu am-ra-ma i-na na-áš-pé-er-tí-ku-nu,"also, look at the memorandum stating that he paid for ennam-aššur's various expenses, and make it known to me in your missive.",22,12,22,1.833
li-ba-kà ú li-bi-i e im-ra-aṣ ha-nu-ba a-na-kam ú-ta-za-am um-ma šu-ut-ma a-dí-i na-áš-pè-er-tám,"please, see to it, gentleman as you are, that a favorable letter of yours reaches šu-suen, hanuba, puzur-lama, me, and your caravan.",22,12,22,1.833
um-me-a-nim ke-nim lá ša ša-ha-tim wa-áš-bu ta-ma-lá-kà-am ku-nu-ki-a pí-iq-da a-hu-ú-a a-tù-nu i-na,"my dear brothers, the same day send me word about where you have left the container under my seal and inform me.",22,12,22,1.833
a-wi-lim ta-mu-im e-tí-tí-iq ma-mì-tám iš-tí a-wi-lim i-lá-qé-ma ú lu-qú-tám ša dumu a-zu-za-a-ma,he will get an oath from the man and then he will dispatch the goods of azuzaya's son on the narrow track.,22,12,22,1.833
a-lim{ki} ni-il₅-qé a-ma-kam ki-ma ša bu-lu-uṭ a-bi-ku-nu la tù-uš-té-ṣa-a-ma ša-li-um i-ṣé-er é,just as when your father was still alive do not quarrel there so no evildoer may do harm to your father's house.,22,12,22,1.833
a-na ša ki-ma i-a-tí šu-qú-ul lu gi₅-mì-lu-um i-a-tí ki-ma ag-mì-lu-kà-ni-ma ha-ra-nam a-dí-na-ku-um,may it be a favour for me since i have done you a favour and i have arranged a caravan for you.,22,12,22,1.833
ša-ak-na-at šu-ma té-bi-ib-tum i-tab-ší qá-dí a-hi-šu-n,in accordance with the testamentary dispositions applying to them.,22,6,9,1.5
tí-ib-a-ma a-tal-kam a-na-kam é a-bi-ku-nu za-ki-a,clear up the affairs of your father's house here.,22,6,9,1.5
a-na a-bi₄-kà ha-bu-la-ku a-na a-li-tim 10,you have received 10 shekels of silver for alitum.,22,6,9,1.5
1 anše ṣa-lá-ma-am a-na-nu-um a-na šé-bu-lim,take a black donkey from here for the shipment.,22,6,9,1.5
sà-hi-ir-tám ku-nu-ki-kà na-ki-ru-um ub-lam 10 ma-na,annima and eništārum brought you 10 minas of silver.,22,6,9,1.5
na-hi-da-ma ú-ṭá-tám ú e-ṣí lu-pá-hi-ru-nim ú-ṭá-tám,"also, instruct my servants to gather grain and firewood.",22,6,9,1.5
na-dí té-i-ra-tum ša ú-kà-lu-ma té-er-ta-kà li-li-kam,send me word about the orders that he holds.,22,6,9,1.5
a-ni-<gap> 2 né-nu na-al-pu-ta-ni a-ša-me-ma e-pì-iš-tí,i hear that the man's actions are in disorder.,22,6,9,1.5
ṭup-pé-e ša a-bi₄-kà ta-ki-li na-áš-ú-ni-kum ta-ki-li,indeed they bring you your father's letter with slander.,22,6,9,1.5
li-ší-li-ih bé-lu-a a-tù-nu ih-da-ma ṣú-ha-ri-a ṭù-ur-da,"my dear lords, take care to send my servant.",22,6,9,1.5
iq-bi₄-ú-nim mì-ma la i-dí-nu-nim a-na-kam a-mu-ri-ú,here the amorites seized (them) with you as witness.,22,6,9,1.5
áš-qúl mì-ma a-nim a-šu-mì a-mur-{d}utu áš-qúl,i paid all this in the name of amur-šamaš.,22,6,9,1.5
1 gín lá ta-be-e-lá ša-ma-nim a-ha-ma,as with the previous instructions make a collected purchase.,22,6,9,1.5
ga-am-ra-kum mì-ma a-nim ku-nu-ki-ni i-dí-a-bu-um i-ra-dí-a-kum,iddin-abum leads all this to you under our seals.,22,6,9,1.5
ṣú-ba-tù sig₅ diri ša tám-kà-ri-im a-hu-a,the textiles of extra-fine quality belong to the merchant.,22,6,9,1.5
hu-ša-li dumu a-šur-dan ù šu-ma-a-bi₄-a ik-nu-ku,the son of aššur-dān and šumi-abiya sealed the pouches.,22,6,9,1.5
ší-a-ma-tim a-d-in 5 ìr-du ù 5,"all this, lamassutum, the wife of elamma, left behind.",22,6,9,1.5
igi pì-lá-ah-ištar dumu e-lá-ma igi a-šur-ba-ni dumu du-mu-uq-ištar,"witnessed by pilah-ištar, son of elamma, and by aššur-bāni, son of dumuq-ištar.",22,8,12,1.5
igi en-nam-{d}iškur dumu zi-ra um-mì-a-nu-šu a-na ší-a-ma-tim ú-ra-ki-sú-ni,his investors had contractually bound me to (provide it) for making purchases.,22,8,12,1.5
kišib ú-zu-a kišib i-dí-a-bi-im kišib sú-kà-lim dumu i-dí-sú-in,"seal of uzua, seal of iddin-abum, seal of sukkallum son of iddin-suen.",22,8,12,1.5
áb-ša-ra-ni li-mu-um ku-bi-a ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,he must add interest in accordance with the rule of the colony.,22,8,12,1.5
kišib a-šur-e-mu-qí kišib en-nam-a-šùr dumu me-na-a kišib i-dí-a-bi-im,"seal of aššur-emūqī, seal of ennam-aššur s. of menaya, seal of iddin-abum.",22,8,12,1.5
kišib a-la-bi-im dumu sú-li-a kišib ki-li-a dumu en-na-nim,"seal of ali-abum son of ṣuliya, seal of kiliya son of ennānum.",22,8,12,1.5
6 ma-na urudu ší-im ep-ri a-na ú-zu-a e-zi-ib,"i left 6 minas of copper, the price of rations, with uzuwa.",22,8,12,1.5
ší-ni-šu té-er-tí i-li-kà-ku-nu-tí i-na ṣú-ba-tí ša tám-kà-ri-im ṣú-ba-tù,among the textiles belonging to the merchant there are some old textiles.,22,8,12,1.5
kišib a-mur-ištar kišib en-nam-a-šur dumu me-na-a kišib i-dí-a-bi₄-im,"seal of amur-ištar, seal of ennam-aššur son of menaya, seal of iddin-abum.",22,8,12,1.5
ú tí-ir-ta-ak-nu mì-ma ú-lá i-li-kam a-hu-a a-tù-nu mì-šu,"my dear brothers, why do you not pay attention to my instructions?",22,8,12,1.5
iš-tù ha-mu-uš-tim ša a-mur-ištar a-na 23 ha-am-ša-tim i-ša-qal,reckoned from the week of amur-ištar he must pay within 23 weeks.,22,8,12,1.5
šé-bi₄-lam 1 túg sig₅ ku-lu-ma-a na-áš-a-kum ší-im-šu šé-bi₄-lam,kulumaya brings you 1 fine textile; send me the proceeds from it.,22,8,12,1.5
a-bu-ni a-ma-kam a-na tí-ir-tí a-bi₄-ni i-hi-id-ma za-ki-i a-ni-ša-am,take care there of our father's instructions and clear up the affairs.,22,8,12,1.5
mì-ma tí-ir-tí a-bi₄-ni lá tù-pá-na-am a-na-kam iš-té-en ù,you shall not transfer any consignment of our father's to this place.,22,8,12,1.5
kišib a-šùr-e-mu-qí kišib en-nam-a-šùr dumu me-na-a kišib i-dí-a-bi-im,"seal of aššur-emūqi, seal of ennam-aššur son of menaya, seal of iddin-abum.",22,8,12,1.5
li-ib-ší šu-ma i tí-ki-ir-kà a-na da-ni-tim pí-kà dí-šu-um,"if he contests it with you, then give him a harsh talking-to.",22,8,12,1.5
kišib i-dí-a-bi₄-im dumu i-tur₄-dingir kišib ú-nu-ba kišib a-ší-a-at,"seal of iddin-abum son of itūr-ilī, seal of unuba, seal of ašiat.",22,8,12,1.5
urudu 18 gú 6 ma-na urudu i li-bi i-dí-a-šur a-lá-an,"the rest of the copper, 18 talents 6 minas of copper, is in iddin-aššur's possession.",22,10,15,1.5
lá a-wi-lim a-ta-áš-kà-an a-hi a-ta am-tí šu-pur-ma li-ir-dí-ú-nim a-na ha-ar-pé,"my dear brother, write about my maid so they lead her to me before harvest.",22,10,15,1.5
ha-ra-ni le-pu-uš i-na {d}utu-ši ša ṭup-pí ta-ša-me-ú we-da-ku ṣú-ha-ri ṭur₄-da-am,"the very day you hear my letter - since i am alone, send the servants!",22,10,15,1.5
a-šur-du₁₀ šu-ištar ù a-na-ku lu né-ta-wu i-na ta-am-ni-a ha-mu-uš-tum ša,"aššur-ṭāb, šu-ištar and i myself, we will discuss in tawiniya; the week eponymy of aššur-bāni.",22,10,15,1.5
li-iṣ-hi-ir ù urudu na-am-a-dam ša ṭup-pì-kà a-dí tù-wa-ri-a ni-sí 1,then we have settled the majority of the copper from your tablet until my return.,22,10,15,1.5
ra-bi-ú-tim a-dí 5 u₄-me-e ú-ṣa-ba-am iš-tù ha-mu-uš-tim ša ma-nu-ba-lu-a-šur a-na,reckoned from the week of mannum-balum-aššur he will pay my silver in the next week.,22,10,15,1.5
igi šu-a-nim i-nu-mì i-dí-a-bu-um a-na a-lim{ki} i-lu-ku qá-dí na-ru-qí-šu-ma e-tí-iq,when iddin-abum goes to the city it will go along together with his joint-stock investments.,22,10,15,1.5
dumu qá-a-a-tim igi i-dí-a-šur dumu bu-sú-sú igi a-bu-ša-lim dumu i-dí-èr-ra,"in the presence of iddin-aššur, son of b / pususu, of abu-šalim, son of iddin-erra.",22,10,15,1.5
kišib a-ku-za dumu šu-a-nim kišib ú-ra-a dumu ma-na-na kišib a-šur-ba-ni dumu ša-lim-a-šùr,"seal of akuza son of šu-anum, seal of uraya son of manana, seal of aššur-bāni son of šalim-aššur.",22,12,18,1.5
lu-bu-šu-am ku-nu-ki-a a-ṣé-er ku-zi-zi-a šu-be-lúm ù a-lu-a na-áš-ú ù mì-šu ša a-dí,"but why is it that although i wrote to you about pilah-ištar, my servants have stayed until today?",22,12,18,1.5
a-bi-šu-nu a-na i-dí-sú-in ù a-hi-šu dumu i-ba-a-a ù-lá i-tù-wa-ar-šu-nu-tí a-hu-um a-na a-hi-im,and šalim-aššur must not raise claim against iddin-suen or his brother for the debt of their father ibaya.,22,12,18,1.5
20 ma-na urudu sig₅ i ší-im ku-uk-ra i-ri-ih-ma i-ṣé-er {d}utu-a-bi lá-ma-sà-tum tí-šu,20 minas of refined copper that remained from the price for kukra are owed by šamaš-abī to lamassutum.,22,12,18,1.5
dumu puzur₄-a-na igi a-du-du-wa dumu en-na-ma-nim igi en-na-sú-in dumu i-tur₄-dingir igi šu-a-nim dumu šu-sú-in,"witnessed by anah-ilī son of puzur-anna, by aduduwa son of ennam-anum, by ennau-suen son of itūr-ilī, by šu-anum son of šu-suen.",22,14,21,1.5
igi gír ša a-šur ší-bu-tí-ni ni-dí-in igi a-ta-ta dumu šu-ku-bi₄-im igi šu-a-šur dumu id-n,"witnessed by atata son of šu-kūbum, by šu-aššur son of iddin-aššur; aššur-rabi was on that very day our thir (witness partner).",22,14,21,1.5
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma ṭup-pá-am igi igi gír ša a-šùr ší-bu-tí-ni ni-dí-in,for these words the kaneš colony made us available and this tablet we gave as our testimony rendered before aššur's dagger.,22,14,21,1.5
kišib a-šùr-ma-lik dumu dingir-ba-ni kišib a-la-hi-im dumu i-na-ah-dingir kišib a-mur-ištar dumu mì-šu-gal kišib a-gu-a kišib i-dí-a-bi-im,"seal of aššur-malik son of ilī-bāni, seal of ali-ahum son of inah-ilī, seal of amur-ištar son of miššu-rabi, seal of aguwa, seal of iddin-abum.",22,16,24,1.5
a-na-kam ki-a-am ša ki-ma ku-a-tí i-zi-zu-ma a-dí li-bi-kà lu-qú-tám ù e-ma-re-e qá-at-kà ša-ki-in,"here your representatives acted like this, so for as long as you wish your claim has been placed on the goods and the donkeys.",22,13,24,1.846
li-bi-i im-ta-ra-aṣ a-ma-kam a-na ú-ṣur-ša-ištar dí-ší-ma a-na,give it to uṣur-ša-ištar there so he can give it to the maid.,22,7,13,1.857
né-ru-ub-ma 4 ma-na 15 gín-ku-nu a-na 5,therefore? our tablet of 51 minas of silver plus interest on it tablet.,22,7,13,1.857
ṣí-ib-tám ú-ṣa-áb a-hu-ú-a be-lu-ú-a a-tù-nu a-wi-lúm a-dí,"my dear brothers and lords, the man has cheated me once or twice.",22,7,13,1.857
ša a-na a-bi₄-ku-nu a-dí-nu šé-bi₄-lam 1 túg,send me the proceeds from my textiles that i gave to your father.,22,7,13,1.857
ša-ak-ší-dí lu-mu-un li-bi₄-im a-ra-ší-a-ku-um a-wa-tim ša ta-ta-wu-ni,"i could get angry with you, (for) the words you spoke are improper!",22,7,13,1.857
i-dí-na-ni šu-ú-ša-al-šu-um lá-áš-qú-lá-kum igi 2 dumu um-me-a-ni,seize ennānum and have him pay the silver and send it to me.,22,7,13,1.857
ṣí-ib-tám lá i-lá-qé gi-mì-li a-na šu-ki-tim li-dí-ma,if he does not charge interest he will do šukkutum a real favour.,22,7,13,1.857
túg li-iš-qú-lam i-na {d}utu-ši ṭup-pá-am ú-lá-pì-ta-ku-nu-tí-ni a-na,the very day i wrote the letter to you i left for wahšušana.,22,7,13,1.857
hu-bu-li dingir-ba-ni dí-na-šu-um ù ṭup-pé-e ša ku-nu-ki-a,"also, let him give you the tablets with my seal that he holds.",22,7,13,1.857
ṭup-pu-um ša hu-bu-ul a-na-ah-ì-lí ša i-li-a-ni sà-ar,the tablet of the debt of anah-ili that may turn up is invalid.,22,7,13,1.857
ištar-tù-li-id dumu a-da-a igi bu-da-a dumu ta-ra-wa-zi,"in the presence of istar-tulid, son of adaya, of budaya, son of tarawazi.",22,7,13,1.857
bur-ištar ša-i-il₅ mì-ma ša a-dí-nu-šu-i-ni a-na a-šur-ṣú-lu-li,all i gave him for assur-sululi has been registered on a wax tablet.,22,7,13,1.857
iš-tù ha-mu-uš-tim ša ku-lu-uk-lu a-na 3 ha-am-ša-tim,reckoned from the week of kuluklu he is to pay within 3 weeks.,22,7,13,1.857
lu-ub-lá-šu a-na-kam ṣa-al-tám iš-tí-a e-pu-uš-ma li-bi₄-i da-ni-iš,here he has started a fight with me and has offended me seriously.,22,7,13,1.857
ni-lá-qé kišib en-na-sú-in dumu i-ku-a kišib sà-li-a,man-mahir son of amur-ištar owes 30 talents of -copper from durhumit to šalim-aššur.,22,7,13,1.857
a-wi-lúm é a-bi₄-a e it-ba-al a-ba-ú-a be-lu-ú-a,"my dear fathers and lords, save me while i can still be saved.",22,7,13,1.857
a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma ṭup-pá-am ša ší-bu-tí-ni igi gír ša a-šùr ni-dí-in igi,"the kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before aššur's dagger.",22,13,19,1.462
bu-lá-tí ša a-bu-ni 3 gú ù 5 ma-na urudu sig₅ ša ma-ma-hi-ir na-dí,in addition to our father's assets 3 talents plus 5 minas of good copper belonging to man-mahir were deposited.,22,13,19,1.462
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ṭup-pá-am ší-bu-tí-ni igi gír ša a-šùr ni-dí-in,the kanesh colony gave us for these proceedings and we gave a tablet with our testimony before aššur's dagger.,22,13,19,1.462
a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš ṣa-he-er gal i-dí-ni-a-tí-ma igi gír ša a-šur ṭup-pá-am ni-dí-in,the plenary assembly of the kanesh colony gave for these proceedings and we gave the tablet before aššur's dagger.,22,13,19,1.462
kišib šu-ku-bi-im dumu a-šùr-i-dí kišib i-dí-ištar dumu a-šùr-i-dí sú-in-na-da dumu en-um-a-šùr tap-pá-i-ni a-na,"sealed by šu-kūbum son of aššur-idī, by iddin-ištar son of aššur-idī; suen-nādā son of ennam-aššur was our (absent) partner.",22,13,19,1.462
ku-ta-ni 1 ša a-ki-dí-e 1 ra-qá-tám a ma-lá tí-ir-tí-kà a-na a-lá-bi₄-im ù i-dí-a-šùr,"we entrusted 2, 1 akkadian one and 1 thin textile to ali-abum and iddin-aššur in accordance with your instructions.",22,13,19,1.462
na-na kà-ší-im en-um-a-šur dumu e-lá-ma ip-qí-sú-um igi ša-lim-a-šur dumu a-zi-da igi a-šur-ma-lik dumu,"before šalim-aššur, son of azida, aššur-mālik, son of ennam-aššur, (and) suen-nādā, son of akazi, he entrusted (them) to him.",22,13,19,1.462
ší-it-ra-am a-na lá-ma-sí-tim a-na a-wa-tim ša ta-áš-pu-ra-ni a-wi-lu-um,"as for the matter about which you wrote me, the gentleman has perished / disappeared.",22,8,15,1.875
qá-qá-ad šál-mì-šu-nu ra-ki-is šu-ma i-na u₄-me-šu-nu lá iš-ta-aq-lu,"should they not pay when their term is due, then i will take away tuwatuwi.",22,8,15,1.875
šu-ma ší-bé ša ra-bi-ú-tim i-šu-am mì-nam a-qá-be a-na-ku,"if he has witnesses among the great men against me, then what can i say?",22,8,15,1.875
ma-lá ú ší-ni-šu áš-pu-ra-ku-ma ṭup-pá-am lá ta-dí-in a-hi,i have written you once or twice but you have not given me a reply.,22,8,15,1.875
ša-pí-ir 2-ší-na mu-qá-ri-bé dí-na-šu-ma kà-ru-um a-na kà-ri-im li-ip-qí-sú,give him two escorts and (thus each) colony must convey him to the (next) colony.,22,8,15,1.875
a-ta be-li a-ta a-ša ak-lu-ú li-ba-kà lá tù-lá-ma-na-kum,"my dear brother and lord, do not be angry with me because i held back.",22,8,15,1.875
li-bi i-li-ma a-bu-ni me-et lá šál-ma-a-šur a-bu-ni a-ta,"it is not šalim-aššur who is our father, it is you who are our father.",22,8,15,1.875
ha-ar-ma-am e-zi-ba-ku-nu-tí iš-tù ú-mu-šu im-lu-ú-ni i-na ma-ah-ri-a 22,after his loan came due his terms have become overdue for me by 22 weeks.,22,8,15,1.875
lu-ta-mì-ú-ni ṭup-pá-am ša ku-nu-ki-a ša tù-kà-lu-ú a-na ša,give the tablet with my seal that you have in your possession to my representatives.,22,8,15,1.875
zu-ba igi puzur₄-{d}iškur a-lá-bu-um dumu zi-a tap-pá-i-ni a-na,"in the presence of zuba (and) of puzur-adad; ali-abum, son of zia was our colleague.",22,8,15,1.875
la ta-áš-ta-na-me-e mì-šu ša áš-ta-na-me-ú-ma a-wa-at a-hi-ú-tim ta-áš-ta-na-me-ú,why is it that i keep hearing that you always listen to what strangers say?,22,8,15,1.875
áš-pu-ra-ku-nu-tí i-na tí-ir-tí-ku-nu ha-ra-an sú-qí-ni-ma a-šé-ru-ub lu-qú-tim ta-áš-ta-na-pá-ra-nim um-ma a-tù-nu-ma a-šar,in your instructions you keep writing to me about bringing the goods on the narrow track.,22,11,16,1.455
a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma igi gír ša a-šùr ší-bu-tí-ni ni-dí-in,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,11,16,1.455
ú-ku-ul-tí-šu-nu a-dí-šu-nu-tí igi a-hu-wa-qar dumu šu-ištar igi ba-zi-a dumu dingir-ku-ru-ub igi,"witnessed by ahu-waqar son of šu-ištar, by baziya son of ilī-kurub, by the son of qardaya.",22,11,16,1.455
ili₅-ba-ni dumu i-a-a gír ša a-šùr it-ma-ma en-nu-um-dingir dumu ku-za-ri pá-šu,ilī-bāni son of yaya swore by aššur's dagger and ennam-ilī son of kuzari heard his statement.,22,11,16,1.455
dumu a-mur-a-šùr igi a-ku-za dumu šu-a-nim igi ú-ra-a dumu ma-na na,"witnessed by sukkalliya son of amur-aššur, by akuza son of šu-anum, by uraya son of manana.",22,11,16,1.455
ma-na-na a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma igi gír ša a-šùr,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,11,16,1.455
a-ni-a-tim kà-ru-um dur₄-hu-mì-it i-dí-ni-a-tí-ma igi gír ša a-šur ša a-šur ší-bu-tí-ni,for these words the durhumit colony gave us and before aššur's dagger we gave our testimony.,22,11,16,1.455
qá-tí-šu-nu i-dí-in a-na a-wa-tim a-ni-a-tim kà-ru-um wa-ah-šu-ša-na i-dí-in-ni-a-tí-ma igi gír ša,the wahšušana colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,11,16,1.455
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma igi gír ša a-šùr ší-bu-tí-ni,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,11,16,1.455
ša-lim-bé-lí li-dí-na-ki-im a-pu-tum a-ma-kam lu a ba-ba-tí lu a-na é-be-tí-a lá,"urgent, do not act rashly there with regard to either the outstanding claims or my house.",22,11,16,1.455
i-ša-qá-lam₅ igi i-tur₄-dingir dumu a-mur-ištar igi a-ta-ta ha-pu-dim igi a-lu-lá-a dumu,"witnessed by itūr-ilī son of amur-ištar, by atata the blind one, by alulaya son of isalia.",22,11,16,1.455
a-na ra-dí-im iš-hi-a-ni-tí-im 11 ku-ta-ni i-na na-ru-qá-tim du-ur-kà-ma a-šu-mì da-dí-a e-ez-ba,pack 11 kutānus in the sacks and leave them in dādiya's name until my instructions arrive.,22,11,16,1.455
a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-in-ni-a-tí-ma igi gír ša a-šur ší-bu-tí-ni ni-dí-in,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,11,16,1.455
qá-tí-šu-nu i-dí-in a-na a-wa-tim a-ni-a-tim kà-ru-um wa-ah-šu-ša-na i-dí-ni-a-tí-ma igi gír ša,the wahšušana colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,11,16,1.455
ša-bu-ú ṭup-pé-a iš-tí lá-ma-sà-tim i-ba-ší-ú lu ma-ma-an i-na ša-zu-uz-tí-a ú-kà-al-šu-nu a-dí,are my tablets with lamassutum or does someone from my representatives have them in his possession?,22,11,16,1.455
ša-lim-wa-ar-dí dingir-pì-lá-ah lá-šu-ma a-na dam dingir-pì-lá-ah igi 3 me-er-e um-mì-a-ni ni-ip-qí-id-ma,ilī-pilah is not here so we entrusted them to ilī-pilah's wife witnessed by 3 affiliated traders.,22,11,16,1.455
a-wa-tim a-ni-a-tim kà-ru-um du-ur-hu-mì-it i-dí-ni-a-tí-ma igi gír ša a-šur ší-bu-tí-ni ni-dí-in,the durhumit colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,11,16,1.455
ku-un-kà-ší-ma li-bi₄-ší a-dí a-lá-kà-ni ú-ṭá-tám li-im-hu-ra-ma a-na bé-tim e-ri-im lá e-ra-ba-am,"let him receive the grain until i arrive, so i shall not enter an empty house.",22,11,16,1.455
i-dí-{d}im dumu a-šùr-du₁₀ igi tù-ur-a-a dumu me-na-a igi kur-ub-a-šùr dumu ṣí-li-a,"witnessed by iddin-adad son of ašsur-ṭāb, by tūraya son of menaya, by kurub-aššur son of ṣilliya.",22,11,16,1.455
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-ma igi gír ša a-šur ší-bu-tí,the kanesh colony gave me for these proceedings and i gave my testimony before aššur's dagger.,22,11,16,1.455
ah-ša-lim i-šu iš-tù ha-muš-tim ša a-šur-ma-lik dumu sú-kà-li-a a-na 12 ha-am-ša-tim,reckoned from the week of aššur-malik son of sukkalliya he is to pay within 12 weeks.,22,11,16,1.455
ú-bi-il₅ gán-lam a-na-nu-um ù a-lá-nu-um a šu-mì-šu-nu-ma i-tí-iq kù,"it will travel overland in both directions at their expense, (for) it is money of their trust.",22,9,17,1.889
a-wa-tí ša ta-at-wu-ú ú a-na-ku a-wa-at ša a-hi eb-ri,"as for the words you spoke, i too can listen to the words of colleagues and friends.",22,9,17,1.889
a-na ší-mì-im a-na ša-na-ú-um il₅-qé-ú ší-im hu-sà-ri-ku-nu ku-nu-ki-ni bu-ur-sú-in,with the price of your lapis lazuli under our seal būr-suen is on his way to you.,22,9,17,1.889
ku-nu-ki ša-ak-tù-nu-a na-áš-a-ku-um a-lá-ni ku-nu-ki-a li-ip-qí-du-ni-ku-ma i-na ku-nu-ki-a li-bi-ší,the acorns he must entrust to you under my seal and they must remain under my seal.,22,9,17,1.889
ta-pá-qí-da-ni a-na a-wi-lim sà-ri-im ša ki-ma a-šur-lá-ma-sí i-na maš-kà-tí-a,"when you entrust merchandise (for transport). (must it be) to a perfidious men, who replaces / represents?",22,9,17,1.889
šu-ma a-hu-ú-a a-tù-nu ša-li-ú-um i-ṣé-ri-ku-nu lá i-ša-lá ìr a-šar,"forward the slave to them where you can, so that the creditors will not sell my father.",22,9,17,1.889
