akkadian,english
ú-šé-lá-a-am igi en-um-a-šur dumu,witnessed by ennam-aššur son of narām-suen.
na-ra-am-zu 3 gín kù.babbar me-eh-ra-tim ša kà-ku-uš al-ma-tim iš-tí a-lu-wa en-um-a-šùr ú-šé-ba-al-šum,"ennam-aššur will send him 3 shekels of silver, the corresponding amount for the -flour of the widow, with aluwa."
kišib ú-ra-a-a dumu ma-na-na kišib {d}mar.tu-ba-ni dumu,"seal of uraya son of manana, seal of amurrum-bāni son of manana."
ma-na-na a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma igi gír ša a-šùr,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.
ší-bu-tí-ni ni-dí-in bu-zu-ta-a ša-li-iš-ni,buzutaya was our third man.
a-na en-na-ma-nim qí-bi₄-ma um-ma kà-kà-ba-ma a-na-kam dam.gàr-ru,to ennam-anum from kakkaba: the merchant belittles me here.
ú-ša-am-ṭá-a-ni a-na a-ša-ša-bi um-ma,you said to ašašabi: i shall go.
sí-ki ú-ṭá-ra-ad 10 ma-na urudu ša aq-bi₄-ú dumu zu-ba lá i-dí-nam 10 ma-na urudu a-na ṣí-ib-tim é nu-a-e al-qé-ma ṣú-ha-ar-kà ip ta an ú-ma-am ṣú-ha-ar-kà ar-ta-na-pu-ud dingir,"as for the 10 minas of copper that i promised, zuba's son has not given it to me; i have borrowed 10 minas of copper against interest in the house of an anatolian and your servant <gap> today i am running around (as) your servant."
um-ma i-dí-sú-in-ma a-na sig₅-pì-i-a-šùr ù a-lá-hi-im qí-bi₄-ma a-dí-i na-áš-pè-er-tí ša be-lúm-ba-ni ša té-zi-ba-ni iš-tí-in i-na ba-ri-ku-nu li-li-kam-ma,"from iddin-suen to damiq-aššur and ali-ahum: concerning the missive about bēlum-bāni that you left me, one of you should come and receive your silver."
i-ru-aq a-dí-i be-lúm-ba-ni a-na-kam lá na-ṭù-ma tí-ir-tí lá e-zi-ib a-na tí-ša-mu-ur-na lá e-tí-iq,concerning bēlum-bāni it is not appropriate for me to leave instructions here; he will not go overland to tišmurna.
a-na sig₅-pì-i-a-šùr qí-bi₄-ma wa-dí a-wa-tim ša ni-ta-ú-ni ta-am-tí-ší,to damiq-pī-aššur: apparently you have forgotten the matter we discussed.
e-et-qám-ma e-et-qám-ma a-šar a-wa-tim i-lá-ku lu né-pu-uš,"do come here, come here, so we can do what the situation demands."
kà-ru-um <gap> dí-nam i-dí-in-ma ša-lim-a-šùr ù me-er-ú i-dí-a-bi-im i-na ki-dim a-hu-um a-na a-hi-im da-na-sú i-qá-be a-dí 3,"the <gap> colony passed a verdict, stating that šalim-aššur and the sons of iddin-abum will each say binding words to each other outside (the city)."
u₄-me ma-ma-an gán-lam i-na ba-ri-šu-nu ú-lá i-lá-ak,within 3 days no one among them may go away (from here).
a-na ì-lí-ba-ni ù ku-li-a qí-bi-ma um-ma a-šùr-e-nam-ma i-na ša-lá-tí-wa-ar 0.8333,"to ilī-bāni and kuliya, say, this is what aššur-ennam says: in šalatiwar kuliya gave me 0.8333 mina of silver under his seal."
ma-na kù.babbar ku-nu-ki-šu ku-li-a i-dí-nam-ma a-na wa-ah-šu-ša-na a-na ṣé-ri-kà,i brought it to wahšušana to you and i said: herewith i entrust to you the silver under the seals of kuliya.
ta-pu-lu um-ma,i entrusted the packet to you.
a-ta-ma ke-na a-pu-ul kù.babbar igi,what did my paternal house that your brother came back on me?
ma-num li-mu-um um-ma a-na-ku-ma a-šùr-lá-ma-sí ú šu-iš-ha-ra li-mu-ú,"i booked 1 mina of silver as due by him. <gap> silver iddin-aššur, son of šu-bēlum, promised me <gap>."
kišib be-lá-nim dumu šu-ku-bi-im kišib a-gu₅-a dumu dan-na-a-šur kišib ú-ṣú-ur-ša-ištar dumu da-da-a 1 ma-na kù.babbar,"seal of belanum, son of su-kubum, seal of agua, son of dan-assur, seal of usur-sa-istar, son of dadaya. 1 mina of refined silver belanum, son of su-kubum, owes to kulia, son of ali-abum."
ṣa-ru-pá-am i-ṣé-er bé-lá-nim dumu,he will pay within one year and six months.
i-ša-qal šu-ma i-na ú-me-šu,"month v, eponymy of iddin-suen, son of iddin-abum."
li-mu-um i-dí-sú-in dumu i-dí-a-bi-im kišib i-ku-pí-a dumu pí-lá-ah-ištar kišib ili₅-ba-ni dumu mu-ta-lim kišib a-šur-sipa dumu ú-ṣú-ra-nim,"if he does not pay he will add interest in conformity with the rule of the karum. <gap> silver, a loan belonging to kuliya, son of ali-abum, ennam-suen, son of zarniqum holds; he is held by the silver."
8 gín kù.babbar ṣa-ru-pá-am i-ṣé-er i-ku-pí-a dumu pí-lá-ah-ištar ku-li-a dumu,"if he goes away to somebody else, he will hire someone in his place and he will compensate the wages of the hireling."
a-lá-bi-im i-šu-ú a-na 6 ur-hé kù.babbar i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb <gap> 10,"seal of ili-malik, son of adad-ellat, seal of iddin-assur, son of su-belum, seal of ennam-suen, son of titinatal. 10 shekels of refined silver ili-malik, son of adad-ellat, owes to kuliya, son of ali-abum."
gín kù.babbar be-ú-lá-at ku-li-a,per mina he will add 12 shekels as interest per year.
dumu a-lá-bi-im i-na-sú-in dumu za-ar-ni-qí-im ú-ka-al iš-tí,"either in the city or in the countryside, wherever he will be seen, he will pay the silver."
kù.babbar uk-ta-al šu-ma šu-ma a-e-ma ú-dá-pí-ir,"month v, eponymy of su-rama, sons of uzua."
a-na i-ku-pí-a a-bu-a e-ri-ší-im ku-da-tim šu-ištar ù en-na-sú-in qí-bi-ma um-ma en-um-a-šur-ma a-na en-na-sú-in qí-bi-ma a-šùr ù i-lá-a-bi-ni lu i-dí-a-kà,"to ikūn-pīya, abuwa, erišum, kudātum, šu-ištar and enna-suen from ennam-aššur; specifically to enna-suen: may aššur and the god of our fathers reject you, since you stood ready to separate me from my father's breast!"
ša ke-na-tim li-mì-im a-šur-na-da,you promised to pay the silver in 20 weeks.
dumu puzur₄-a-na ha-bu-lá-tí-ma ṭup-pá-kà ha-ar-ma-am ú-kà-al,you will have to pay interest at the rate 1.5 shekel per month per mina.
a-na 20 ha-am-ša-tim,your terms are exceeded by 4 years.
kù.babbar ša-qá-lam qá-bi-a-tí,has any silver been left for me?
ša a-šé-e-ú-šu a-na ša ki-ma i-a-tí qí-bi-ma a-na mì-ma kù,"to my representatives: my dear brothers, if enna-suen answers you <gap> send me his answer soon and let him travel here."
um-ma a-lá-hu-um-ma a-na ša-lim-ìr-dí ù a-lu-wa qí-bi₄-ma mì-šu ša a-na-kam ra-dí-ú e-ta-wu-ú um-ma šu-nu-ma ṣú-ha-ru-kà ú-ṭá-tám a-ba-kam lá i-mu-ú ša a-lim{ki} wa li ša ta-hu-ur-a wa-li-wa-li ha-ri-a ša šu-mì-a áš ta-aq-bi₄-a-šu-nu-tí um-ma,"from ali-ahum to šalim-wardī and aluwa: why is it that the guides have been arguing here, saying: your servants refuse to ship the grain."" of the city <gap> waliwali <gap> you (plur.) said to them as follows: ""haul the grain before spring!"
áb-kà-nim mì-ma lá i-ri-ah,ship the rest of the grain here.
ší-tí ú-ṭí-tim áb-kà-nim a-ba-kam lá a-ba-kam,send me word as to whether it is shipped or not.
tí-ir-ta-ak-nu li-li-kam,i shall come.
kišib ú-zu-a kišib i-dí-a-bi-im kišib sú-kà-lim dumu i-dí-sú-in,"seal of uzua, seal of iddin-abum, seal of sukkallum son of iddin-suen."
sú-kà-lim lu-zi i-šu itu.kam,"month ab-šarrāni, eponymy kūbiya."
áb-ša-ra-ni li-mu-um ku-bi-a ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,he must add interest in accordance with the rule of the colony.
1 ku-ta-nu-um sig₅ 1 ku-ta-num tár-dí-ú-um 1 ra-qú-tum 1 ša a-ki-dí-e ku-nu-ki ša šál-ma-a-šùr šé-ep-ištar ù ša-lim-wa-ar-dí a-na a-lá-bi₄-im ù i-dí-a-šùr ip-qí-du,"šep-ištar and šalim-wardi have entrusted 1 kutanum of good quality, 1 kutanum of secondary quality, 1 thin textile, 1 akkadian textile — under šalim-aššur's seal — to ali-abum and iddin-assur."
igi bu-zu-a igi du₁₀-ṣí-lá-a-šùr,"witnessed by buzuwa, by tab-sill-aššur."
a-na puzur₄-a-šur id-na-a ù i-ku-pí-a-šur qí-bi-ma um-ma šu-ištar-ma a-na id-na-a qí-bi₄-ma 3 ma-na kù.babbar ṣa-ru-pá-am ha-bu-lá-at u₄-mu-kà,"say to puzur-aššur, idnāya and ikūn-pī-aššur thus šu-ištar, say (in particular) to idnāya: 3 minas of refined silver you owe (me), your term is 12 weeks overdue."
12 ha-am-ša-tim e-tí-qú a-hi a-ta kù.babbar ú ṣi-ba-sú šu-qú-ul-ma a-na té-er-tí-a,"please, my brother, pay the silver and its interest and let them give it to where i will instruct'."
li-dí-nu <gap> a-na ša ki-ma i-a-tí qí-bi₄-ma i-hi-da-ma kù.babbar ú ṣi-ba-sú ša-áš-qí-lá-šu-ma a-na té-er-tí-a pá-ni-a,"say to my representatives: 'take care to to make him pay the silver and the interest on it and transfer it to where i will instruct'."""""
šé-bi₄-lá-nim anše é tam-kà-ri-im,ask for a donkey at a merchant's house.
sí-sí-a-nim i-na sí-sí-kà-at pì-ri-kà-ni šu-mì tám-kà-ri-im,indicate the name of the merchant on the hem of the .
wa-dí-a a-hu-a a-tù-nu i-ih-da-ma iš-tí a-li-ki-im pá-ni-im-ma áb-kà-nim,"my dear brothers, take care to ship it with the very first transport."
ší-im er-dí-im ša a-dí-nu a-lá-qé-ma an.na a-ša-am-ma ù-šé-ba-lá-kum <gap> mì-ma li-ba-kà lá <gap> dingir-šu ú-na-zu-mu,"as for the 1 mina of silver, the price of the slave, whom i sold, if i collect it i will buy tin and send it to you."
<gap>-a-<gap> i da <gap> šu <gap> ú ni-a-am li-ba-am ha-dí,"do by no means worry. <gap> they complain <gap> and make us too happy!"""""
a-tù-nu ta-ša-a-ma-ni a-tù-nu iš-tí-šu ku-un-kà a-na ší-tí,buy textiles from talhat for the rest of my silver.
ší-ma-am ša ba-lá-ṭí-a ša-ma-nim a-hu-ú-a a-tù-nu ih-da-ma,"my dear brothers, take care to send me adad-pilah."
{d}im-pí-lá-ah ṭur₄-da-nim a-na en-nam-a-šur qí-bi-ma a-na ša ú-na-hi-du a-hi a-ta i-hi-id-ma ṣú-ha-ri ṭur₄-dam,"to ennam-aššur: pay heed to what i instructed you to do, my dear brother, and send my servant."
kišib en-na-sú-in dumu i-dí-a-bi-im kišib a-šur-ta-ak-lá-ku dumu i-ku-nim kišib pí-lá-ah-ištar dumu a-šur-sipa 6.8333 ma-na,"seal of enna-suen son of iddin-abum, seal of aššur-taklāku son of ikūnum, seal of pilah-ištar son of aššur-rēʾī."
ša en-na-sú-in dumu ku-ra-ra a-na 7 ha-am-ša-tim kù.babbar i-ša-qal šu-ma i-na,reckoned from the week of enna-suen son of kurara he will pay back the silver in 7 weeks.
áb-ša-ra-ni li-mu-um šu-sú-in dumu ba-bi-lim 3 gín,"month ab-šarrāni, in the eponymy šu-suen son of babilum."
mì-ma a-nim a-šu-mì ku-da-tim ú-ša-qí-il₅,all this i paid on behalf of kudātum.
um-ma ku-zi-a-ma a-na en-nam-a-šur qí-bi-ma urudu ku-nu-ki ša,from kuziya to ennam-aššur: we broke open the copper sealed by šu-zuzu.
lu gám-ru-ma lu ni-is-ha-tum lu mu-ṭá-ú 4 gú lá 5 ma-na,"the wool - both expenses, import duty and deficit - has been cleared as 4 talents less 5 minas."
iz-ku-a-am ṭup-pí ku-nu-ki-kà na-áš-ú-ni-kum,they bring you my tablet with your seal.
mì-ma lá ta-ša-kà-na a-pu-tum,"urgent, the orders are strict."
a-wa-tum da-na-at mì-ma e šé-bi₄-lá-ma,do not send anything lest you be sorry.
ṣú-ha-ru-ú a-sà-nim ša é ás-qú-dim ú pì-lá-ah-ištar dumu e-lá-ma ha-ra-nam iš-té-ni-iš i-li-ku-nim-ma i-na hu-ra-ma a-na é ku-bi-a iš-té-ni-iš e-ru-bu-ma ni-is-ha-tí-šu-nu é.gal-lúm iš-té-ni-iš i-sú-ùh i-na,"the servants of asānum, who belongs to the house of asqūdum, and pilah-ištar, son of elamma, together went on a business trip and in hurama they together entered kubiya's house and the palace levied the import-tax from them together."
wa-ar-ki-tim lu-qú-tum i-ṣí-bi-it-ma lu-qú-tám ša a-sà-nim é.gal-lúm i-ta-ba-al,afterwards merchandise was seized and the palace took away asānum's merchandise.
<gap> ú-ṣa-áb itu.kam qá-ra-a-tim li-mu-um,"<gap> month qarra'ātum, eponymy buzuzu."
bu-zu-zu 20 ma-na kù.babbar i da-na-ma qá-tí a-ša-kà-an,he will give me 20 minas of silver and i shall lay claim to that.
igi a-šur-gal igi a-šur-{d}utu-ši igi pí-lá-ah-a-šur 10 ma-na kù.babbar ṣa-ru-pu-um iš-tí puzur₄-a-na ni-a-im,"witnessed by aššur-rabi, by aššur-šamšī, by pilah-aššur. 10 minas of refined silver is owed by our own puzur-anna."
iš-tù-i-ša-qal ha-mu-uš-tim ša a-šur-ta-ak-lá-ku ù kà-sí-a a-na 30 ha-am-ša-tim,reckoned from the week of aššur-taklāku and kasiya he is to pay in 30 weeks.
ú-ṣa-áb itu.kam té-i-na-tim li-mu-um a-mur-a-šur igi,"month te'inātum, eponymy amur-aššur son of karriya."
puzur₄-{d}im dumu i-dí-ištar igi du-um-qá-a dumu kur-ub-a-a <gap> mu-hu-ur-šu <gap> a-ṣé-er kù.babbar <gap> a-šur-ta-ak-lá-ku <gap> ak-lá-ku <gap>,"witnessed by puzur-adad son of iddin-ištar, by dumqaya son of kurub-ištar. <gap> receive <gap> on to of the silver <gap> aššur-taklāku <gap>"
kišib a-ku-za dumu šu-a-nim kišib lá-qé-ep dumu {d}ab-ba-ni kišib ṣí-lu-lu dumu,"sealed by akuza son of šu-anum, by lā-qēp son of illil-bāni, by ṣilūlu son of uku."
ú-ku a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma igi gír ša a-šùr i-na ba-áb dingir ṭup-pá-am ni-dí-in,the kanesh colony gave us for these proceedings and we gave a tablet before aššur's dagger in the gate of the god.
um-ma a-šùr-ša-dí-li-ma a-na ku-li-a ù a-šur-la-ma-sí a-na ku-li-a qí-bi-ma a-šu-mì a-wa-tim ša é sà-ba-sí-a a-wu-tum ša ma-ah-ri-kà lá iz-ku-ú lu-qú-ut-kà ša i-na a-pí-im té-zi-bu-ma,"thus says aššur-šad-ilī to kuliya and aššur-lamassī and in particular to kuliya: because of the affair of sabasiya's house, the case that was not settled in your presence, latarāk has seized your merchandise that you had left behind in apum."
lá-ta-ra-ak iṣ-ba-at áš-me-ma ṭup-pá-am ša ší-bu-tim ú ší-ip-ra-am al-qé-ma a-na a-pí-im i-li-ik-ma lu-qú-tám ú-ší-ir-ma a-bi-we-du-um i-ra-dí-a-ku-um be-et-kà urudu,when i heard it i availed myself of a tablet of the elders and a messenger who went to apum and obtained the release of the merchandise and abī-wēdum is now leading that to you.
lá i-pá-ri-id ki-ma a-wi-lu-tí-kà lu-qú-ut-kà,there is absolutely no reason to get nervous.
a-na kù.babbar ta-e-er-ma tí-ib-a-ma a-tal-kam a-hi a-ta tí-de₈-e ki-ma,"gentleman as you are, convert your merchandise into silver and come immediately here."
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni igi gír ša a-šùr,the kanesh colony has given us for these proceedings and we gave our testimony before the dagger of aššur.
ni-dí-in igi a-ku-za igi mar.tu-ba-ni,"witnessed by akuza, by amurrum-bāni, by lā-qēpum."
igi lá-qé-pì-im i-tur₄-dingir dumu a-mur-ištar tap-pá-i-ni,itūr-ilī son of amur-ištar was our (absent) partner.
ha-bu-lu kù.babbar a-al-du₁₀ iš-qú-ul a-al-du₁₀ i-lá-ak-ma né-mu-lu-um i-ta-áb-ší i-né-mì-li-im i-lá-qé šu-ma né-mu-lu-um,"suhurpiyala (!) will make a business trip and if there is profit, he will take it (the silver) from the profit."
lá-šu kù.babbar ù ṣí-ba-sú a-li-a ù ha-ar-ša a-na a-al-du₁₀ i-ša-qú-lu,if there is no profit aliya and harša will pay the silver and the interest on it to āl-ṭāb.
igi ší-il₅-ma-šu igi šu-pu-nu-ma-an,"in the presence of šilmašu, of šuppunuman."
um-ma šu-ištar-ma a-na šu-ma-li-ib-ší ì-lí-a-lim ù a-mur-ištar qí-bi-ma a-na šu-ma-li-ib-ší ù ì-lí-a-lim qí-bi-ma 14 gín kù.babbar,"from šu-ištar to šuma-libši, ilī-ālum and amur-ištar; specifically to šuma-libši and ilī-ālum: you owe 14 shekels of refined silver."
ṣa-ru-pá-am ha-bu-lá-tù-nu ṭup-pá-ak-nu ha-ar-ma-am,i hold your certified tablet.
ú-kà-al u₄-mu-ku-nu ša-na-at e-tí-qú,your terms are overdue by a year.
kù.babbar i qá-qá-ad šál-mì-ku-nu ù,the silver (loan) was with joint liability.
tám-kà-ri-im a-ma-kam kù.babbar ù ṣí-ba-sú a-na,pay the silver and its interest there to amur-ištar.
a-na e-lá-ma qí-bi-ma um-ma ištar-pì-lá-ah-ma 3 ma-na an.na hi-na-a i-na <gap> ú-kà-al-ma,"say to elamma, thus ištar-pilah: hinnāya holds 3 minas of tin and one must not open (the packet) lest he gets angry."
lá i-pá-ṭù-ru-nim li-bu-šu lá,take care to send me 1.5 mina of silver.
šu-ma za-<gap> ša-lim-a-šùr šu-ma a-ší-it ša-al-ma-at <gap> ma <gap> a-na,if za<gap> šalim-aššur.
a-wa-tim a-ni-a-tim kà-ru-um i-dí-ma lu ta am li ú <gap>,if ašet is safe <gap>
a-dí-ni i-ṣé-ri-a na-dí kù.babbar,do not send any silver to the city.
mì-ma a-na a-lim{ki} lá tù-šé-ba-lá kù.babbar a-na,give the silver to my servants and let it remain in my house.
ṣú-ha-ri-a dí-na-ma i bé-tí-a li-bi-ší a-sú-ri a-wa-tum e im-qú-ta-ma ma-ma-an a-na ba-áb dingir-lim e,god forbid that the matter descends on me so that someone makes me go to the gate of the god and i and you too become unhappy.
le-pu-šu ù,send them to me.
e-na-a-šùr a ša-pár-tim ú-kà-al i-na a-lá-ak dumu a-na-<gap> ú maškim ša ì-lí-pí-ú-ṣur,when ana-x's son and ili-pi-usur's attorney come here they will pay me the silver and i will release the gods.
kù.babbar i-ša-qú-lu-ni-ma i-li ú-ša-ar,"as for the tablet, it will be cancelled."
ku-li-a i-ša-qá-lam itu.kam kán-mar-ta li-mu-um a-šùr-sipa,"month ix, eponymy of assur-re'i, son of ili-emuqi."
dumu ì-lí-e-mu-qí i-nu-mì kù.babbar áš-qú-lu e-na-a-šùr ú a-mur-{d}utu dumu,"when i paid the silver ennam-assur and amur-samas, son of ili-pi-usur, acted as beru."
ili₅-pì-ú-ṣur be-ru-ú i-zi-zu igi a-šur-ma-lik igi sú-kà-li-a igi ma-num-ba-lúm-a-šur,"in the presence of assur-malik, of sukkaliya, of mannum-balum-assur."
šu-ma kù.babbar-pì i-ma-šu-hu té-er-ta-kà li-li-kam-ma úz-ni pí-tí 1,send me a message if they try to rob me of my silver and keep me informed.
a-na ku-zi-zi-a lá-qé-ep ù a-na-a-na qí-bi-ma um-ma en-um-a-šùr-ma a-na a-na-a-na qí-bi-ma lá-ma a-na kà-tí-lá a-li-ku 5 na-ru-uq,"to kuziziya, lā-qēp and anna-anna from ennam-aššur; to anna-anna: before i went to katila i left you 5 sacks of wheat and 2 sacks of barley in addition."
gig ú 2 na-ru-uq še-am e-lá-nu-ma e-zi-ba-ki-im a-ha-ma 17 na-ru-uq,"further, they carted 17 sacks 2 jars of wheat and 17 sacks 2 jars of barley from tumliya."
2 dug gig ú 17 na-ru-uq 2 dug še-am,all the grain plus the silver from the natives my father had designated for me.
iš-tù tù-um-li-a iš-du-du-nim mì-ma ú-ṭí-tim ú kù.babbar,"urgent, do not open it up for the lady and give her nothing."
ša nu-a-e a-bi i-a-tí-ma e-ta-aṣ-ra-am,"also, i sent her directions with ewarimuša."
a-pu-tum a-na a-wi-il₅-tim lá ta-pá-ṭí-ri ú mì-ma lá ta-dí-ni-ší-im ú iš-tí e-wa-ri-mu-ša,"my dear brothers, instruct her there so that there will be no wrongdoing in my storeroom to make me unhappy."
ta-hi-tám áš-pu-ur-ší-im a-hu-a a-tù-nu a-ma-kam,do place my tablets and furniture under guard.
na-hi-da-ší-ma i-na hu-ur-ší-a ší-lá-tum lá i-ba-ší-ma li-bi,inform me how much grain was spent for the mourning-ritual.
lá i-ma-ra-aṣ ṭup-pí-a ú ú-tù-up-tí lu tù-ša-ṣí-ir ma-lá,until my brother reveals to me my father's assets i shall be delayed.
ú-ṭù-tum a-bi-ki-tim i-gi₅-im-ru úz-ni pí-té-a a-dí bu-lá-tí ša a-bi-a,before i came ali-ahum had opened the strong-room and even taken out the assets.
kišib e-la-lí dumu i-ku-nim kišib ša-lim-a-hi-im dumu dan-a-šur kišib en-na-sú-en₆ dumu sú-kà-lí-a kišib i-dí-a-šur dumu a-šur-ma-lik ša 1 ma-na 1.5 gín i-ṣé-er dingir-šu-gal dumu,"seal of elalī, son of ikūnum, seal of šalim-ahum, son of dān-aššur, seal of ennam-suen, son of sukkalliya, seal of iddin-aššur, son of aššur-mālik, that ilšu-rabi, son of bulāli, owes 1 mina 1.5 shekel of silver to elamma."
bu-la-lí e-lá-ma i-šu iš-tù itu.kam áb-ša-ra-ni li-mì-im,"from month v?, eponymy of šu-hubur? he will pay within 3 months."
kà-ri-im ú-ṣa-áb kù.babbar iš-ri-iq-ma kà-ru-um kà-ni-iš a-na šu-šál-šum i-dí-šu,he had stolen silver and the colony had convicted him to (pay) the triple.
kù.babbar a-na ni-qé igi ku-bi-a igi a-šur-pí-lá-ah,witnessed by kūbiya (and) aššur-pilah son of amur-aššur.
ku-ku-ra-nim a-dí-in igi kàr-ri-a ša é sú-kà-li-a,witnessed by karriya from the family of sukkalliya.
a-na a-lá-hi-im qí-bi-ma um-ma zu-ku-a-ma a-hi a-ta eb-ri a-ta ú a-ta ki-ma a-hi-ú-tim,"to ali-ahum from zukuwa: althought you are my brother and friend, as if we were strangers you do not inform me."
a-mì-ú-tim a-ta-kà-al ki-ma a-na-ku a-na tí-ir-tí-kà na-hi-da-ku-ni ù a-ta a-na tí-ir-tí-a lá ta-hi-id,"although i personally pay attention to your instructions, you have not paid attention to my instructions."
<gap> a-dí ha-am-ší-šu tí-ir-tí i-li-kà-kum,my instructions have come to you five times!
ṭup-pu-um ša 12 ma-na <gap>-ba-tim <gap> a-na-ku we-da-ku <gap> i-dí,the tablet concerning 12 minas of silver <gap> i am alone. <gap> have <gap> paid.
<gap> ša-áš-qí-il₅ ki-ma ṭup-pá-am ta-áš-me-ú kù.babbar ša-qí-il₅ lá ša-qí-il₅ tí-ir-ta-kà a-na wa-ah-šu-ša-na,"as you hear the letter send me word to wahšušana whether or not the silver is paid, and pay the goods."
dumu puzur₄-a-na igi a-du-du-wa dumu en-na-ma-nim igi en-na-sú-in dumu i-tur₄-dingir igi šu-a-nim dumu šu-sú-in,"witnessed by anah-ilī son of puzur-anna, by aduduwa son of ennam-anum, by ennau-suen son of itūr-ilī, by šu-anum son of šu-suen."
um-ma a-šùr-ba-ni-ma a-na šu-pé-e-nu-ma-an um-mì-iš-ha-ra a-ší-tí-šu ú ha-nu qí-bi₄-ma a-wa-tim lá dam-qá-tim,"from aššur-bāni to šuppi-numan, ummī-išhara, his wife and hanu: i have heard words that were not good but diminishing."
ma-áš-ha-tim áš-me a-pu-tum a-ma-kam é bé-tám ù ṭup-pé-e,"it is urgent that you guard the house, the tablets and anything else there!"
ú-lu mì-ma-a-ma ša-ṣí-ra šu-ma a-<gap> a <gap> a-šùr-mu-ta-bi₄-il₅ ú a-šur-sipa mì-ma-ša-ma lu ṭup-pè-e e-ri-šu-ku-nu,"if a<gap>, aššur-muttabbil or aššur-rē’ī asks you for anything, also tablets, then it is imperative that you do not give them anything!"
a-pu-tum lá ta-da-na-šu-nu-šu a ma-lá ha-nu ša-hu-zu-ni 1 gín.ta ma-lá ṭup-pè-e,"as hanu has been instructed, every shekel that he receives in accordance with the tablets is hanu’s share."
i-lá-qé-ú qá-sú,do not hold it back!
ša ha-nu,let him receive it.
lá ta-kà-lá-a li-il₅-qé ú šu-ma kà-lá ṭup-pè-e e-ri-iš-ku-nu lá ta-kà-lá-a-šu,"also, if he demands all the tablets from you, then do not hold him back but let him take them."
li-il₅-qé ṭup-pá-am ša ni-pì-il₅-tí be-lá-nim dumu šu-a-šur ša a-na um-mì-ni e-zi-bu ha-nu a pá-ni-a,"as for the tablet concerning the balance payment of bēlānum son of šu-aššur that i left for our mother, hanu should bring that to me."
lu-ub-lá-šu a-pu-tum ša-ṣí-ra-ma,it is urgent that you stand guard!
ṭup-pè-e qá-tí ha-nu li-iṣ-ba-at,"as for the tablets, let hanu take them!"
ṭup-pè-e qá-tí a-sà-nim dumu šu-hu-bur ú a-he-e-a e iṣ-ba-at-ma é a-bi₄-ni a-na a-wa-tim e,he must not take the tablets in the hands of asānum son of šu-hubur or my brothers and you must not set our father’s house up for a lawsuit.
ta-dí-a eṭ-lúm lá,the young man is no good.
sig₅ ih-da-ma ša-ṣí-ra,take care and stand guard!
a-na a-lá-hi-im qí-bi-ma um-ma zu-ku-a-ma ší-im an-ni-ki-kà a-dí a-na-ku a-na,"to ali-ahum from zukuwa: as to the price for your tin, before i arrived at šalatuwar the silver was not paid."
i-na ša ṭup-pí-šu 4 ma-na kù.babbar,the silver should pass overland in the name of šukkutum to kanesh.
šu-kà-tám ú-ša-áš-qí-il₅-šu ku-nu-ki ša šu-ki-tim šu-hu-bur na-áš-a-kum gán-lam₅ a-šu-mì šu-ki-tim a-dí kà-ni-iš{ki},"total of your silver, both the proceeds from the tin and that from šukkutum, 15 minas 12 shekels of silver, šu-hubur brings to you."
lu ša šu-ki-tim 15 ma-na,silver for purchases and he <gap> set down with šu-hubur.
a-na en-um-a-šùr qí-bi-ma um-ma a-na-na-ma iš-tù a-bu-kà me-tù a-hu-kà a-na a-lim{ki} ṭup-pá-am ú-šé-bi-lá-ma mì-ma ú-nu-tám i-na é a-bi-kà i-ba-ší-ú i-na qá-at a-hi-kà a-na ki-dim tù-uš-té-ṣí a-ta a-na ú-nu-tim ša,to ennam-aššur from anna-anna: after your father died your brother sent a letter to the city and all the goods that were in your father's house you / she brought outside into your brother's hands.
qá-at-kà ik-šu-du a-ta ki-ma ša-zu-úz-tám tù-ša-zi-zu-ú pá-al-ha-ku-ma mì-ma ú-lá e-pá-áš ù mì-šu ša ta-áš-ta-na-pá-ra-ni um-ma a-ta-ma a-na <gap>,"as for you, for the goods that you got hold of - since you yourself appointed an agent, i am afraid and shall do nothing."
na <gap> tí-ni <gap> 1 ma-na ú-lu 2 ma-na <gap> a-ta we-dí-kà <gap> tí-<gap> ma-a-ma we-dí-kà-ma a-na a-bi₄-kà lá-am-da-tí ù,"also, why do you constantly write to me, saying: for <gap> 1 or 2 minas <gap> you alone <gap> and you alone have been for your father."
ri-ik-sà-am ša tù-šé-bi₄-lá-ni i-na ṭup-pí-kà a-na <gap> lá <gap> lá-pí-it <gap> 0.3333 ma-na <gap> a-na bi₄-ki-tim i-dí-nu i-na wa-ar-ki-tim <gap> tí,"also, as to the bundle that you sent me, in your letter - <gap> was written <gap> 0.3333 mina of silver they paid for the mourning ceremony."
22 ma-na 10 gín kù.babbar ṣa-ru-pá-am i-ṣé-er i-dí-a-bi₄-im,iddin-abum owes 22 minas 10 shekels of refined silver to aššur-malik.
